,idx,mode,file,# Gadgets,CX depth,# CX,Rz depth,depth,# Rz,time,Original # Gadgets,Original CX depth,Original # CX,Original Rz depth,Original depth,Original # Rz,#phase_layers,#cnots_per_layer,notes,matroid,root_heuristic,split_heuristic,arch_density,architecture
0,50,steiner,GENERATED,100,861,3946,73,865,100,0 days 00:00:04.330507000,100,1579,1774,91,1670,100,,,,arianne,,count,0.09523809523809523,36q-square
0,51,steiner,GENERATED,100,811,3925,67,814,100,0 days 00:00:04.473014000,100,1568,1654,96,1664,100,,,,arianne,,count,0.09523809523809523,36q-square
0,52,steiner,GENERATED,100,848,3982,62,854,100,0 days 00:00:04.251703000,100,1613,1745,94,1707,100,,,,arianne,,count,0.09523809523809523,36q-square
0,53,steiner,GENERATED,100,804,3953,64,805,100,0 days 00:00:04.385745000,100,1580,1707,94,1674,100,,,,arianne,,count,0.09523809523809523,36q-square
0,54,steiner,GENERATED,100,793,4004,70,797,100,0 days 00:00:04.567931000,100,1584,1652,96,1680,100,,,,arianne,,count,0.09523809523809523,36q-square
0,55,steiner,GENERATED,100,802,3877,62,806,100,0 days 00:00:04.320741000,100,1546,1694,94,1640,100,,,,arianne,,count,0.09523809523809523,36q-square
0,56,steiner,GENERATED,100,871,4052,65,873,100,0 days 00:00:04.424593000,100,1579,1717,93,1672,100,,,,arianne,,count,0.09523809523809523,36q-square
0,57,steiner,GENERATED,100,798,4044,67,804,100,0 days 00:00:04.261987000,100,1661,1755,95,1756,100,,,,arianne,,count,0.09523809523809523,36q-square
0,58,steiner,GENERATED,100,796,3929,67,800,100,0 days 00:00:04.260162000,100,1639,1746,95,1734,100,,,,arianne,,count,0.09523809523809523,36q-square
0,59,steiner,GENERATED,100,826,4067,63,832,100,0 days 00:00:04.480611000,100,1567,1726,92,1659,100,,,,arianne,,count,0.09523809523809523,36q-square
0,60,steiner,GENERATED,1000,5405,28785,682,5439,1000,0 days 00:01:14.943461000,1000,14611,14847,988,15599,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,61,steiner,GENERATED,1000,5602,29543,662,5626,1000,0 days 00:01:19.166876000,1000,14568,14718,990,15558,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,62,steiner,GENERATED,1000,5394,30758,937,5441,1000,0 days 00:01:18.826068000,1000,14746,14911,992,15738,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,63,steiner,GENERATED,1000,5259,28705,648,5286,1000,0 days 00:01:13.173331000,1000,14680,14847,990,15670,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,64,steiner,GENERATED,1000,5260,29510,644,5290,1000,0 days 00:01:14.071796000,1000,14494,14690,989,15483,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,65,steiner,GENERATED,1000,5263,29156,670,5304,1000,0 days 00:01:13.159191000,1000,14450,14607,992,15442,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,66,steiner,GENERATED,1000,5310,29442,654,5349,1000,0 days 00:01:13.901442000,1000,14488,14631,992,15480,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,67,steiner,GENERATED,1000,6006,29672,682,6031,1000,0 days 00:01:15.487961000,1000,14704,14829,992,15696,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,68,steiner,GENERATED,1000,5389,29105,656,5412,1000,0 days 00:01:09.969929000,1000,14647,14783,991,15638,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,69,steiner,GENERATED,1000,5607,29159,668,5655,1000,0 days 00:01:12.363911000,1000,14583,14757,992,15575,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,70,steiner,GENERATED,1000,5224,29110,663,5270,1000,0 days 00:01:11.582710000,1000,14645,14818,991,15636,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,71,steiner,GENERATED,1000,5247,29225,645,5292,1000,0 days 00:01:12.374973000,1000,14678,14845,991,15669,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,72,steiner,GENERATED,1000,5093,29754,663,5131,1000,0 days 00:01:12.480585000,1000,14757,14916,990,15747,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,73,steiner,GENERATED,1000,5395,29594,675,5445,1000,0 days 00:01:11.627006000,1000,14572,14717,992,15564,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,74,steiner,GENERATED,1000,5129,29183,653,5165,1000,0 days 00:01:11.674702000,1000,14695,14891,991,15686,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,75,steiner,GENERATED,1000,5535,29631,669,5588,1000,0 days 00:01:13.492582000,1000,14665,14857,989,15654,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,76,steiner,GENERATED,1000,5392,28947,666,5432,1000,0 days 00:01:11.883171000,1000,14745,14886,992,15737,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,77,steiner,GENERATED,1000,5230,29180,642,5270,1000,0 days 00:01:17.114820000,1000,14612,14774,990,15602,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,78,steiner,GENERATED,1000,5343,28413,667,5375,1000,0 days 00:01:14.655926000,1000,14615,14745,991,15606,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,79,steiner,GENERATED,1000,5643,29837,725,5671,1000,0 days 00:01:17.920574000,1000,14753,14903,992,15745,1000,,,,arianne,,count,0.09523809523809523,36q-square
0,0,tket,GENERATED,,86,124,1,87,1,0 days 00:00:00.027227000,1,30,30,1,31,1,,,,gray,nash,count,0.09523809523809523,36q-square
